cve,modAV
CVE-2018-5659,NETWORK
CVE-2018-5660,NETWORK
CVE-2018-5661,NETWORK
CVE-2018-5662,NETWORK
CVE-2018-5663,NETWORK
CVE-2018-5664,NETWORK
CVE-2018-5665,NETWORK
CVE-2018-5666,NETWORK
CVE-2018-5667,NETWORK
CVE-2018-5668,NETWORK
CVE-2018-5669,NETWORK
CVE-2018-5670,NETWORK
CVE-2018-5671,NETWORK
CVE-2018-5672,NETWORK
CVE-2018-5673,NETWORK
CVE-2018-5681,NETWORK
CVE-2018-5682,NETWORK
CVE-2018-5683,LOCAL
CVE-2018-5684,NETWORK
CVE-2018-5685,NETWORK
CVE-2018-5686,NETWORK
CVE-2018-5687,NETWORK
CVE-2018-5688,NETWORK
CVE-2018-5689,NETWORK
CVE-2018-5690,NETWORK
CVE-2018-5691,NETWORK
CVE-2018-5692,NETWORK
CVE-2018-5693,LOCAL
CVE-2018-5694,NETWORK
CVE-2018-5695,NETWORK
CVE-2018-5696,NETWORK
CVE-2018-5697,NETWORK
CVE-2018-5698,NETWORK
CVE-2018-5700,NETWORK
CVE-2018-5701,NETWORK
CVE-2018-5702,NETWORK
CVE-2018-5703,NETWORK
CVE-2018-5704,NETWORK
CVE-2018-5705,NETWORK
CVE-2018-5706,NETWORK
CVE-2018-5709,NETWORK
CVE-2018-5710,NETWORK
CVE-2018-5711,NETWORK
CVE-2018-5712,NETWORK
CVE-2018-5713,LOCAL
CVE-2018-5714,LOCAL
CVE-2018-5715,NETWORK
CVE-2018-5720,NETWORK
CVE-2018-5721,NETWORK
CVE-2018-5723,NETWORK
CVE-2018-5724,NETWORK
CVE-2018-5725,NETWORK
CVE-2018-5726,NETWORK
CVE-2018-5727,NETWORK
CVE-2018-5728,NETWORK
CVE-2018-5747,NETWORK
CVE-2018-5748,NETWORK
CVE-2018-5749,NETWORK
CVE-2018-5750,LOCAL
CVE-2018-5759,NETWORK
CVE-2018-5761,NETWORK
CVE-2018-5764,NETWORK
CVE-2018-5766,NETWORK
CVE-2018-5772,NETWORK
CVE-2018-5773,NETWORK
CVE-2018-5776,NETWORK
CVE-2018-5777,NETWORK
CVE-2018-5778,NETWORK
CVE-2018-5783,NETWORK
CVE-2018-5784,NETWORK
CVE-2018-5785,NETWORK
CVE-2018-5786,NETWORK
CVE-2018-5787,NETWORK
CVE-2018-5788,NETWORK
CVE-2018-5789,NETWORK
CVE-2018-5790,ADJACENT_NETWORK
CVE-2018-5791,NETWORK
CVE-2018-5792,NETWORK
CVE-2018-5793,NETWORK
CVE-2018-5794,NETWORK
CVE-2018-5795,NETWORK
CVE-2018-5796,NETWORK
CVE-2018-5797,ADJACENT_NETWORK
CVE-2018-5950,NETWORK
CVE-2018-5954,NETWORK
CVE-2018-5955,NETWORK
CVE-2018-5956,LOCAL
CVE-2018-5957,LOCAL
CVE-2018-5958,LOCAL
CVE-2018-5960,NETWORK
CVE-2018-5961,NETWORK
CVE-2018-5962,NETWORK
CVE-2018-5963,NETWORK
CVE-2018-5964,NETWORK
